ZSFDC_LOAD_GRV	ZSFDCP_LOAD_GRV							
1	SUPNAME	USERLOGIN	TOWARHSNAME	TOLOCNAME	MANUAL			
2						ORDNAME1	PARTNAME	TQUANT
	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	
1	JAB51	bobby	CL	XG001	N			
2						PO12026363	SSTOL3-BMA-M	165000
2						PO12026363	SSTOL3-BMA-XL	19000
2						PO12026363	SSTOL3-BMA-L	50000
2						PO12026363	SSTOL3-BMA-XS	70000
2						PO12026363	SSTOL3-BMA-2XL	2000
2						PO12026363	SSTOL3-BMA-S	80000
2						PO12026363	SSTOL3-BMA-XXS	26000
1	JAB50	bobby	CL	XG001	N			
2						PO12025422	BCTC1704-SCA-XXS	5000
2						PO12025422	BCTC1704-SCA-7/8	10000
2						PO12025422	BCTC1704-SCA-5/6	10000
1	JAB51	bobby	CL	XG001	N			
2						PO12025779	BSTOL8426-BLS-L	15000
2						PO12025779	BSTOL8426-BLS-M	25000
2						PO12025779	BSTOL8426-BLS-XS	17000
2						PO12025779	BSTOL8426-BLS-XL	2000
2						PO12025779	BSTOL8426-BLS-S	25000
2						PO12025779	BSTOL8426-BLS-XXS	5000
1	JAB51	bobby	CL	XG001	N			
2						PO12025830	BSTOL8071-BKW-M	36000
2						PO12025830	BSTOL8071-BKW-L	24000
2						PO12025830	BSTOL8071-BKW-S	48000
2						PO12025830	BSTOL8071-BKW-XL	4000
2						PO12025830	BSTOL8071-BKW-XS	16000
1	JAB51	bobby	CL	XG001	N			
2						PO12025827	SSPB2-SGB-M	50000
2						PO12025827	SSPB2-SGB-S	50000
2						PO12025827	SSPB2-SGB-L	30000
2						PO12025827	SSPB2-SGB-XS	30000
1	JAB50	bobby	CL	XG001	N			
2						PO12025265	CTCS-SKY-7/8	90000
2						PO12025265	CTCS-SKY-XXS	8000
2						PO12025265	CTCS-SKY-9/10	40000
2						PO12025265	CTCS-SKY-2/3	10000
2						PO12025265	CTCS-SKY-3/4	70000
2						PO12025265	CTCS-SKY-5/6	80000
1	JAB51	bobby	CL	XG001	N			
2						PO12025826	BSSPB4735-CBL-S	60000
2						PO12025826	BSSPB4735-CBL-M	80000
1	JAB50	bobby	CL	XG001	N			
2						PO12025369	BCTC8683-SCA-5/6	31000
2						PO12025369	BCTC8683-SCA-XXS	15000
2						PO12025369	BCTC8683-SCA-XS	4000
2						PO12025369	BCTC8683-SCA-7/8	20000
2						PO12025369	BCTC8683-SCA-9/10	20000
2						PO12025369	BCTC8683-SCA-3/4	15000
1	JAB51	bobby	CL	XG001	N			
2						PO12026195	BPOB8420-BLS-3XL	3000
2						PO12026195	BPOB8420-BLS-2XL	4000
2						PO12026195	BPOB8420-BLS-XS	19000
2						PO12026195	BPOB8420-BLS-XXS	8000
2						PO12026195	BPOB8420-BLS-L	42000
2						PO12026195	BPOB8420-BLS-XL	18000
1	JAB51	bobby	CL	XG001	N			
2						PO12025829	SSH4-BSI-S	100000
2						PO12025829	SSH4-BSI-M	80000
2						PO12025829	SSH4-BSI-XS	20000
2						PO12025829	SSH4-BSI-XL	10000
2						PO12025829	SSH4-BSI-L	40000
1	JAB51	bobby	CL	XG001	N			
2						PO12025840	SSSH-BCY-S	60000
2						PO12025840	SSSH-BCY-M	30000
2						PO12025840	SSSH-BCY-XXS	10000
2						PO12025840	SSSH-BCY-XS	30000
1	JAB51	bobby	CL	XG001	N			
2						PO12027116	BFPG4603-WHT-S	50000
2						PO12027116	BFPG4603-WHT-XS	10000
2						PO12027116	BFPG4603-WHT-XXS	5000
2						PO12027116	BFPG4603-WHT-M	35000
2						PO12027116	BFPG4603-WHT-L	10000
1	JAB50	bobby	CL	XG001	N			
2						PO12025420	BCTC4139-SCA-3/4	10000
2						PO12025420	BCTC4139-SCA-5/6	5000
